
day,trips,subscriber_type
2016-02-18,68,Customer
2016-02-19,48,Customer
2016-02-20,127,Customer
2016-02-21,77,Customer
2016-02-22,64,Customer
2016-02-23,84,Customer
2016-02-24,73,Customer
2016-02-25,78,Customer
2016-02-26,106,Customer
2016-02-27,145,Customer
2016-02-28,91,Customer
2016-02-29,51,Customer
2016-03-01,57,Customer
2016-03-02,61,Customer
2016-03-03,35,Customer
2016-03-04,42,Customer
2016-03-05,14,Customer
2016-03-06,66,Customer
2016-03-07,40,Customer
2016-03-08,32,Customer
2016-03-09,30,Customer
2016-03-10,12,Customer
2016-03-11,18,Customer
2016-03-12,66,Customer
2016-03-13,4,Customer
2016-03-14,69,Customer
2016-03-15,90,Customer
2016-03-16,106,Customer
2016-03-17,117,Customer
2016-03-18,110,Customer
2016-03-19,136,Customer
2016-03-20,90,Customer
2016-03-21,33,Customer
2016-03-22,65,Customer
2016-03-23,110,Customer
2016-03-24,129,Customer
2016-03-25,117,Customer
2016-03-26,200,Customer
2016-03-27,120,Customer
2016-03-28,67,Customer
2016-03-29,61,Customer
2016-03-30,100,Customer
2016-03-31,78,Customer
2016-04-01,77,Customer
2016-04-02,141,Customer
2016-04-03,127,Customer
2016-04-04,100,Customer
2016-04-05,56,Customer
2016-04-06,73,Customer
2016-04-07,106,Customer
2016-04-08,68,Customer
2016-04-09,23,Customer
2016-04-10,78,Customer
2016-04-11,63,Customer
2016-04-12,47,Customer
2016-04-13,84,Customer
2016-04-14,64,Customer
2016-04-15,111,Customer
2016-04-16,169,Customer
2016-04-17,112,Customer
2016-04-18,64,Customer
2016-04-19,68,Customer
2016-04-20,79,Customer
2016-04-21,79,Customer
2016-04-22,59,Customer
2016-04-23,135,Customer
2016-04-24,107,Customer
2016-04-25,43,Customer
2016-04-26,66,Customer
2016-04-27,50,Customer
2016-04-28,79,Customer
2016-04-29,103,Customer
2016-04-30,139,Customer
2016-05-01,90,Customer
2016-05-02,54,Customer
2016-05-03,71,Customer
2016-05-04,82,Customer
2016-05-05,80,Customer
2016-05-06,85,Customer
2016-05-07,58,Customer
2016-05-08,87,Customer
2016-05-09,77,Customer
2016-05-10,144,Customer
2016-05-11,89,Customer
2016-05-12,332,Customer
2016-05-13,137,Customer
2016-05-14,198,Customer
2016-05-15,156,Customer
2016-05-16,83,Customer
2016-05-17,122,Customer
2016-05-18,90,Customer
2016-05-19,95,Customer
2016-05-20,120,Customer
2016-05-21,133,Customer
2016-05-22,176,Customer
2016-05-23,93,Customer
2016-05-24,59,Customer
2016-05-25,71,Customer
2016-05-26,84,Customer
2016-05-27,146,Customer
2016-05-28,230,Customer
2016-05-29,189,Customer
2016-05-30,116,Customer
2016-05-31,74,Customer
2016-06-01,66,Customer
2016-06-02,98,Customer
2016-06-03,128,Customer
2016-06-04,144,Customer
2016-06-05,133,Customer
2016-06-06,65,Customer
2016-06-07,68,Customer
2016-06-08,100,Customer
2016-06-09,85,Customer
2016-06-10,123,Customer
2016-06-11,148,Customer
2016-06-12,167,Customer
2016-06-13,98,Customer
2016-06-14,87,Customer
2016-06-15,112,Customer
2016-06-16,124,Customer
2016-06-17,124,Customer
2016-06-18,171,Customer
2016-06-19,135,Customer
2016-06-20,74,Customer
2016-06-21,80,Customer
2016-06-22,49,Customer
2016-06-23,68,Customer
2016-06-24,135,Customer
2016-06-25,200,Customer
2016-06-26,145,Customer
2016-06-27,106,Customer
2016-06-28,82,Customer
2016-06-29,68,Customer
2016-06-30,93,Customer
2016-07-01,102,Customer
2016-07-02,164,Customer
2016-07-03,112,Customer
2016-07-04,179,Customer
2016-07-05,38,Customer
2016-07-06,34,Customer
2016-07-07,62,Customer
2016-07-08,82,Customer
2016-07-09,171,Customer
