
start_station_name,end_station_name,trips
San Francisco Caltrain 2 (330 Townsend),Washington at Kearny,370
Market at Sansome,Commercial at Montgomery,368
Davis at Jackson,Temporary Transbay Terminal (Howard at Beale),367
Harry Bridges Plaza (Ferry Building),Market at 10th,366
Davis at Jackson,Beale at Market,366
Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,365
2nd at Folsom,Powell Street BART,364
Harry Bridges Plaza (Ferry Building),Harry Bridges Plaza (Ferry Building),364
Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,363
2nd at Townsend,San Francisco Caltrain 2 (330 Townsend),363
Civic Center BART (7th at Market),Temporary Transbay Terminal (Howard at Beale),363
2nd at Townsend,Beale at Market,363
Grant Avenue at Columbus Avenue,Spear at Folsom,359
Civic Center BART (7th at Market),Embarcadero at Sansome,355
Clay at Battery,San Francisco Caltrain 2 (330 Townsend),352
Market at 4th,Embarcadero at Sansome,352
Market at Sansome,Davis at Jackson,350
Embarcadero at Vallejo,San Francisco Caltrain 2 (330 Townsend),349
Golden Gate at Polk,Yerba Buena Center of the Arts (3rd @ Howard),344
San Francisco Caltrain (Townsend at 4th),Powell at Post (Union Square),344
South Van Ness at Market,Beale at Market,343
Market at 10th,5th at Howard,340
Commercial at Montgomery,Embarcadero at Bryant,340
Grant Avenue at Columbus Avenue,Commercial at Montgomery,339
Commercial at Montgomery,Powell Street BART,338
5th at Howard,Market at 4th,338
SJSU - San Salvador at 9th,San Jose Diridon Caltrain Station,336
5th at Howard,Market at 10th,334
Powell Street BART,Beale at Market,333
Howard at 2nd,Market at Sansome,333
5th at Howard,Harry Bridges Plaza (Ferry Building),333
Temporary Transbay Terminal (Howard at Beale),Steuart at Market,333
South Van Ness at Market,Embarcadero at Sansome,332
Embarcadero at Vallejo,Embarcadero at Bryant,331
Civic Center BART (7th at Market),Steuart at Market,329
Mechanics Plaza (Market at Battery),Civic Center BART (7th at Market),329
Powell at Post (Union Square),Market at 10th,327
Golden Gate at Polk,Market at Sansome,327
Market at 4th,South Van Ness at Market,326
Mechanics Plaza (Market at Battery),Embarcadero at Folsom,325
Embarcadero at Folsom,Townsend at 7th,324
Powell at Post (Union Square),Davis at Jackson,323
Market at Sansome,South Van Ness at Market,323
Mechanics Plaza (Market at Battery),Powell Street BART,322
Rengstorff Avenue / California Street,Mountain View Caltrain Station,322
Market at Sansome,Civic Center BART (7th at Market),321
Embarcadero at Vallejo,Beale at Market,321
Market at Sansome,Market at 10th,321
Grant Avenue at Columbus Avenue,Mechanics Plaza (Market at Battery),321
Powell at Post (Union Square),Embarcadero at Sansome,320
Townsend at 7th,Golden Gate at Polk,318
Embarcadero at Vallejo,2nd at South Park,318
Powell Street BART,Steuart at Market,318
5th at Howard,Townsend at 7th,318
Santa Clara County Civic Center,Ryland Park,317
Embarcadero at Sansome,Market at 4th,316
Broadway St at Battery St,Market at Sansome,315
Market at 4th,5th at Howard,315
Market at 10th,2nd at South Park,314
Commercial at Montgomery,Mechanics Plaza (Market at Battery),314
Santa Clara at Almaden,SJSU 4th at San Carlos,313
Golden Gate at Polk,Temporary Transbay Terminal (Howard at Beale),312
Market at 10th,Beale at Market,309
Mechanics Plaza (Market at Battery),2nd at Townsend,308
Powell at Post (Union Square),Townsend at 7th,308
Market at 4th,Market at Sansome,306
Mechanics Plaza (Market at Battery),Market at 4th,306
Beale at Market,Embarcadero at Bryant,303
Embarcadero at Sansome,Spear at Folsom,303
Spear at Folsom,Mechanics Plaza (Market at Battery),301
Embarcadero at Bryant,Clay at Battery,301
Embarcadero at Vallejo,Harry Bridges Plaza (Ferry Building),301
South Van Ness at Market,Mechanics Plaza (Market at Battery),300
Mechanics Plaza (Market at Battery),Embarcadero at Sansome,299
Redwood City Caltrain Station,Redwood City Medical Center,299
Market at 10th,2nd at Folsom,298
Beale at Market,Davis at Jackson,298
Yerba Buena Center of the Arts (3rd @ Howard),Townsend at 7th,297
Market at 4th,2nd at South Park,294
2nd at Folsom,Steuart at Market,293
San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,292
Stanford in Redwood City,Redwood City Caltrain Station,290
Steuart at Market,Mechanics Plaza (Market at Battery),288
Mechanics Plaza (Market at Battery),Powell at Post (Union Square),288
Market at 4th,Steuart at Market,284
Grant Avenue at Columbus Avenue,San Francisco Caltrain 2 (330 Townsend),283
Harry Bridges Plaza (Ferry Building),Post at Kearny,282
Broadway St at Battery St,Clay at Battery,282
Embarcadero at Sansome,Embarcadero at Bryant,280
Embarcadero at Vallejo,Embarcadero at Sansome,280
Grant Avenue at Columbus Avenue,Townsend at 7th,280
Mechanics Plaza (Market at Battery),Commercial at Montgomery,279
Powell Street BART,Washington at Kearny,275
Spear at Folsom,2nd at South Park,275
Market at Sansome,Powell Street BART,275
Market at 10th,Powell at Post (Union Square),274
Ryland Park,Santa Clara County Civic Center,273
Civic Center BART (7th at Market),Beale at Market,273
Embarcadero at Folsom,2nd at South Park,272
2nd at South Park,Market at 4th,272
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Bryant,271
Market at 4th,Civic Center BART (7th at Market),270
Powell at Post (Union Square),Market at Sansome,270
Townsend at 7th,Embarcadero at Folsom,268
Powell Street BART,Temporary Transbay Terminal (Howard at Beale),268
Steuart at Market,Clay at Battery,268
Market at 10th,2nd at Townsend,268
2nd at South Park,2nd at Townsend,268
Market at 10th,Howard at 2nd,267
Market at 4th,2nd at Townsend,266
Mountain View Caltrain Station,Rengstorff Avenue / California Street,266
2nd at Folsom,2nd at South Park,266
Beale at Market,Grant Avenue at Columbus Avenue,265
Golden Gate at Polk,Steuart at Market,265
San Francisco Caltrain (Townsend at 4th),Washington at Kearny,263
2nd at Townsend,Commercial at Montgomery,263
2nd at South Park,Spear at Folsom,261
Market at Sansome,Howard at 2nd,261
Washington at Kearny,Powell Street BART,261
Embarcadero at Sansome,South Van Ness at Market,260
Powell Street BART,5th at Howard,258
Spear at Folsom,Embarcadero at Sansome,257
Grant Avenue at Columbus Avenue,2nd at South Park,257
2nd at Folsom,Washington at Kearny,255
Howard at 2nd,South Van Ness at Market,255
Mechanics Plaza (Market at Battery),Davis at Jackson,251
2nd at Folsom,Market at 10th,251
2nd at South Park,Mechanics Plaza (Market at Battery),250
Golden Gate at Polk,Beale at Market,250
SJSU - San Salvador at 9th,Paseo de San Antonio,250
Townsend at 7th,Market at 4th,249
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Bryant,249
Davis at Jackson,Spear at Folsom,247
San Francisco Caltrain (Townsend at 4th),Grant Avenue at Columbus Avenue,246
Beale at Market,Powell Street BART,245
Market at Sansome,5th at Howard,242
5th at Howard,Market at Sansome,240
Powell Street BART,Harry Bridges Plaza (Ferry Building),238
Market at 4th,Townsend at 7th,237
Mechanics Plaza (Market at Battery),Steuart at Market,237
Spear at Folsom,Market at 10th,237
Steuart at Market,Yerba Buena Center of the Arts (3rd @ Howard),237
Embarcadero at Folsom,Steuart at Market,236
Embarcadero at Bryant,Broadway St at Battery St,236
Park at Olive,Palo Alto Caltrain Station,236
Embarcadero at Folsom,Embarcadero at Vallejo,236
Mechanics Plaza (Market at Battery),Harry Bridges Plaza (Ferry Building),235
San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,235
Powell at Post (Union Square),Washington at Kearny,234
Powell Street BART,Civic Center BART (7th at Market),231
Spear at Folsom,Harry Bridges Plaza (Ferry Building),231
5th at Howard,Post at Kearny,230
South Van Ness at Market,Spear at Folsom,230
Steuart at Market,Market at 4th,230
Powell at Post (Union Square),Mechanics Plaza (Market at Battery),229
Temporary Transbay Terminal (Howard at Beale),Beale at Market,229
South Van Ness at Market,2nd at South Park,228
